crop_type,soil_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,NDVI_index,region,recommended_irrigation_mm
Onion,Alluvial soil,57.67,6.76,19.93,191.23,74.22,0.826,Gujarat,0
Cabbage,Alluvial soil,67,6.1,25.37,111.82,64.87,0.68,Madhya Pradesh,116.5
Rice,Peaty and Marshy soil,81.65,5.95,25.43,122.96,76.75,0.706,West Bengal,121.87
Cauliflower,Forest and Mountain soil,61.4,7.13,28.14,98.5,63.67,0.706,Madhya Pradesh,0
Cauliflower,Black soil,78.07,7.65,19.64,229.12,88.51,0.783,Madhya Pradesh,0
Chilli,Alluvial soil,56.8,7.23,28.47,196.74,69.35,0.743,West Bengal,0
Rice,Alluvial soil,69.71,6.65,30.73,188.07,61.94,0.55,Bihar,147.12
Pumpkin,Alluvial soil,48.14,6.65,26.23,114.66,82.13,0.716,Gujarat,110.06
Onion,Alluvial soil,53.34,6.81,26.55,92.76,62.97,0.641,Uttar Pradesh,89.32
Garlic,Red and Yellow soil,57.46,7.09,25.89,214.99,71.84,0.82,Haryana,0
Pumpkin,Alluvial soil,58.75,7.49,19.68,187.36,67.31,0.687,Haryana,0
Mustard,Alluvial soil,29.75,7.15,18.23,33.57,50.26,0.457,West Bengal,66.8
Cucumber,Black soil,84,7.01,26.64,257.74,94.99,0.802,Karnataka,0
Chilli,Black soil,61.61,6.94,22.54,79.12,54.62,0.753,Telangana,96.02
Pumpkin,Red and Yellow soil,46.38,6.35,29.36,35.65,82.17,0.595,West Bengal,142.44
Tomato,Alluvial soil,51.07,6.89,21.31,89.39,63.96,0.781,Tamil Nadu,99.66
Chilli,Alluvial soil,43.22,6.26,26.32,103.99,55.33,0.593,Andhra Pradesh,107.73
Groundnut,Forest and Mountain soil,46.97,7.06,18.67,82.98,65.5,0.795,Haryana,0
Cucumber,Alluvial soil,72.27,6.03,30.63,125.24,61.03,0.695,Telangana,97.14
Potato,Red and Yellow soil,54.31,5.61,18.31,100.76,63.76,0.601,Karnataka,106.85
Maize,Red and Yellow soil,46.98,5.97,33.57,104.98,85,0.594,West Bengal,132.66
Sugarcane,Black soil,77.33,7.78,33.4,138.16,89.97,0.657,Gujarat,206.77
Garlic,Red and Yellow soil,56.87,6.21,24.34,75.73,51.86,0.471,Punjab,98.88
Mustard,Alluvial soil,52.52,6.87,22.39,93.47,55.76,0.822,Tamil Nadu,0
Chilli,Alluvial soil,42.47,6.58,23.06,73.59,50,0.687,Rajasthan,114.15
Lentil,Red and Yellow soil,58.36,7.76,24.99,152.54,69.49,0.698,West Bengal,0
Brinjal,Alluvial soil,59.21,6.19,24.11,98.21,65.44,0.796,Madhya Pradesh,0
Onion,Alluvial soil,57.69,6.71,25.96,94.83,53.61,0.561,Tamil Nadu,85.96
Lentil,Black soil,44.29,7.57,17.12,58.29,45.2,0.448,Bihar,54.43
Rice,Black soil,60.32,7.65,22.63,92.72,74.28,0.783,Karnataka,0
Soybean,Alluvial soil,55.87,6.19,30.66,40,52.99,0.817,Chhattisgarh,107.64
Garlic,Black soil,55.63,6.57,19.07,136.23,76.81,0.658,Karnataka,0
Maize,Alluvial soil,55.02,7.23,25.39,139.11,71.79,0.647,Tamil Nadu,94.41
Cucumber,Red and Yellow soil,51.59,6.64,27.21,130.45,79.95,0.773,Rajasthan,116.54
Rice,Peaty and Marshy soil,85.75,5.86,27.36,181.77,76.46,0.647,Madhya Pradesh,105.45
Soybean,Red and Yellow soil,41.66,6.08,26.72,154.91,74.57,0.752,Karnataka,100.86
Soybean,Forest and Mountain soil,49.59,7.26,21.57,135.69,59.13,0.896,Bihar,0
Cucumber,Red and Yellow soil,56.48,6.36,29.14,70.59,88.28,0.681,Telangana,129.54
Tomato,Alluvial soil,51.98,6.73,23.53,82.32,50,0.776,Tamil Nadu,101.99
Cabbage,Alluvial soil,71.05,6.58,22.72,108.77,66.37,0.762,Madhya Pradesh,113.76
Cucumber,Alluvial soil,56.8,6.77,28.25,147.31,61.9,0.858,Maharashtra,99.71
Tomato,Alluvial soil,57.95,5.5,25.8,125.06,84.13,0.652,Gujarat,88.86
Garlic,Forest and Mountain soil,62.85,7.03,26.17,194.99,74.94,0.674,Uttar Pradesh,0
Chilli,Alluvial soil,54.82,6.81,23.49,86.29,67.37,0.706,Gujarat,0
Garlic,Alluvial soil,47.93,6.45,26.73,76.95,51.01,0.502,Haryana,94.89
Rice,Alluvial soil,64.81,6.93,22.36,96.04,65.29,0.773,Haryana,12.89
Mustard,Red and Yellow soil,71.54,7.42,22.13,217.3,89.26,0.846,Gujarat,0
Garlic,Alluvial soil,53.76,6.46,25.03,43.32,50.25,0.45,Tamil Nadu,99.12
Cauliflower,Black soil,83.19,6.22,23.38,211.97,82.87,0.807,Uttar Pradesh,0
Maize,Red and Yellow soil,41.67,6.79,26.93,82.95,61.77,0.792,Punjab,38.45
Chilli,Red and Yellow soil,57.1,6.48,18.15,209.57,83.46,0.693,Bihar,0
Garlic,Black soil,64.93,7.69,21.33,199.08,67.87,0.797,Uttar Pradesh,0
Cauliflower,Black soil,54.24,7.69,21.27,84.88,61.27,0.786,Assam,122.55
Lentil,Black soil,78.67,7.72,28.89,220.63,82.49,0.747,Haryana,0
Cucumber,Alluvial soil,56.49,6.61,28.11,98.17,86.25,0.651,Bihar,112.12
Mustard,Forest and Mountain soil,46.34,6.53,24.84,134.01,61.41,0.728,West Bengal,0
Groundnut,Alluvial soil,47.01,7.8,24.72,171.54,74.49,0.898,Gujarat,0
Cabbage,Red and Yellow soil,61.28,6.65,27.02,91.77,60.18,0.748,Gujarat,0
Mustard,Alluvial soil,92.3,7.78,21.12,291.99,92.93,0.784,Karnataka,0
Rice,Alluvial soil,70.62,7.1,21.04,346.3,79.91,0.793,Karnataka,0
Cucumber,Black soil,70.94,7.65,21.15,391.54,85.15,0.81,Madhya Pradesh,0
Sugarcane,Black soil,75.89,7.22,28.69,212.32,75.46,0.74,Tamil Nadu,186.73
Potato,Alluvial soil,64.42,6.14,20.35,52.38,64.66,0.513,West Bengal,103.7
Pumpkin,Alluvial soil,58,6.58,29.31,104.12,55,0.766,Andhra Pradesh,108.33
Maize,Alluvial soil,55.44,7.57,27.4,82.56,47.9,0.596,Bihar,109.25
Onion,Alluvial soil,40.43,6.39,26.05,62.86,45.03,0.726,Andhra Pradesh,104.34
Mustard,Black soil,39.41,7.54,22.45,31.74,39.03,0.439,Rajasthan,58.7
Garlic,Red and Yellow soil,84.65,6.01,23.48,276.21,87.47,0.711,Tamil Nadu,0
Cauliflower,Black soil,66.33,6.93,21.2,84.13,70.15,0.63,Tamil Nadu,115.45
Brinjal,Black soil,63.18,6.87,20.63,200.45,72.17,0.681,Bihar,0
Cucumber,Forest and Mountain soil,73.63,6.4,22.85,358.43,77.72,0.763,Maharashtra,0
Cucumber,Alluvial soil,65.36,5.91,30.52,87.97,69.63,0.656,Maharashtra,110.55
Onion,Red and Yellow soil,57.82,7.19,24.86,129.11,69.23,0.853,Gujarat,0
Groundnut,Black soil,44.68,6.88,27.35,130.56,72.5,0.531,Chhattisgarh,71.59
Lentil,Alluvial soil,32.22,7.03,24.17,62.52,51.96,0.523,Maharashtra,66.74
Cabbage,Forest and Mountain soil,85.97,6.66,28.44,226.4,87.38,0.738,Haryana,0
Onion,Alluvial soil,46.97,6.48,25,56.16,53.09,0.718,Andhra Pradesh,101.68
Chickpea,Forest and Mountain soil,57.39,7.11,22.22,124.56,64.02,0.751,Punjab,0
Lentil,Alluvial soil,44.06,6.36,26.53,33.7,37.18,0.544,West Bengal,67.29
Mustard,Black soil,51.05,6.9,22.08,147.49,73.73,0.729,Bihar,0
Brinjal,Black soil,55.97,7.19,24.28,125.36,76.58,0.774,Tamil Nadu,0
Cabbage,Red and Yellow soil,66.41,7.15,25.73,117.55,65.71,0.742,Punjab,8.8
Sugarcane,Laterite soil,60.02,6.2,29.9,147.88,76.77,0.731,Haryana,262.96
Cauliflower,Black soil,71.59,7.22,27.97,253.51,79.19,0.86,Uttar Pradesh,0
Wheat,Black soil,42.61,7.3,19.43,85.94,51.48,0.727,Rajasthan,110.91
Onion,Forest and Mountain soil,51.11,7.52,22.77,114.33,67.07,0.688,Karnataka,21.21
Rice,Peaty and Marshy soil,86.4,5.67,28.57,213.59,79.67,0.664,Uttar Pradesh,97.76
Soybean,Red and Yellow soil,44.54,6,31.94,132.04,76,0.553,Uttar Pradesh,106.94
Maize,Black soil,59.78,7.2,19.84,97.69,85,0.594,Maharashtra,93.65
Soybean,Black soil,73.58,6.64,25.04,297.58,87.28,0.774,Uttar Pradesh,0
Soybean,Alluvial soil,50.34,7.31,29.33,169.05,61.92,0.698,Karnataka,78.17
Garlic,Forest and Mountain soil,87.03,6.77,21.96,249.43,86.73,0.892,West Bengal,0
Cucumber,Alluvial soil,58.72,6.69,26.37,102.33,90,0.726,Telangana,108.87
Maize,Black soil,89,6.26,25.6,314.02,85.39,0.761,Punjab,0
Brinjal,Black soil,74.85,6.54,26.11,291.6,79.9,0.797,Madhya Pradesh,0
Sugarcane,Forest and Mountain soil,93.25,7.16,28.91,317.83,93.65,0.735,Maharashtra,0
Tomato,Alluvial soil,61.15,6.13,30.34,137.97,64.04,0.77,Punjab,0
Soybean,Black soil,48.44,7.8,25.83,97.48,64.13,0.71,Bihar,85.8
Tomato,Forest and Mountain soil,60.41,6.4,22.39,152.5,79.61,0.682,Tamil Nadu,0
Brinjal,Alluvial soil,64.05,6.7,29.32,249.59,82.21,0.737,Gujarat,0
Mustard,Red and Yellow soil,23.43,6.8,20.87,72.48,49.64,0.611,Punjab,71.03
Rice,Black soil,67.48,7.75,27.99,136.74,71.87,0.665,Rajasthan,179.88
Lentil,Red and Yellow soil,83.36,6.85,25.85,358.14,84.21,0.891,Haryana,0
Chilli,Alluvial soil,67.9,7.7,19.91,125.47,71.54,0.681,Uttar Pradesh,0
Onion,Red and Yellow soil,42.72,6.65,25,65.45,82.3,0.613,Karnataka,111.9
Sugarcane,Black soil,68.33,7.37,30.04,138.96,60,0.611,Tamil Nadu,210.29
Potato,Red and Yellow soil,59.99,6.89,23.56,49.05,74.33,0.638,Punjab,118.47
Lentil,Alluvial soil,74.53,7.35,27.68,320.71,81.4,0.865,Karnataka,0
Potato,Alluvial soil,59.75,7.53,21.5,93.77,56.73,0.837,Karnataka,0
Onion,Red and Yellow soil,56.4,6.01,25.68,46.14,57.9,0.524,Gujarat,108.8
Wheat,Alluvial soil,89.89,6.42,29.23,305.53,77.07,0.948,Gujarat,0
Lentil,Alluvial soil,36.3,6.88,21.35,77.8,57.4,0.631,Haryana,60.8
Garlic,Black soil,67.34,6.19,20.08,213.92,72.36,0.685,Haryana,0
Chilli,Red and Yellow soil,57.88,6.66,23.88,142.36,74.91,0.754,Bihar,0
Chilli,Alluvial soil,35.58,7,28,122.8,65.12,0.669,Tamil Nadu,108.45
Chilli,Red and Yellow soil,50.15,6.39,30.52,123.2,66.33,0.6,Karnataka,110.87
Lentil,Red and Yellow soil,30.19,6.45,21.36,100.83,51.45,0.624,West Bengal,69.25
Cabbage,Forest and Mountain soil,76.95,6.56,19.88,344.67,85.95,0.7,Maharashtra,0
Maize,Forest and Mountain soil,48.89,6.91,23.93,171.76,71.13,0.762,Tamil Nadu,0
Cucumber,Forest and Mountain soil,66.68,7.1,26.14,188.49,80.6,0.844,Maharashtra,0
Sugarcane,Laterite soil,58.11,5.57,24.57,135.26,75.62,0.84,Karnataka,264.6
Cucumber,Alluvial soil,64.82,6.36,30.35,116.57,80.91,0.698,Telangana,103.63
Chilli,Alluvial soil,51.73,7.2,24.89,96.35,62.23,0.61,Tamil Nadu,103.82
Rice,Black soil,74.32,7.21,21.51,378.82,86.83,0.685,Maharashtra,0
Soybean,Black soil,45.72,7.08,26.79,124.02,59.98,0.591,Maharashtra,81.18
Rice,Black soil,82.48,7.28,26.55,266.77,88.18,0.935,Uttar Pradesh,0
Cucumber,Forest and Mountain soil,65.45,6.38,29.02,135.58,72.91,0.653,Bihar,0
Potato,Red and Yellow soil,53.57,5.83,17.73,94.89,45.13,0.614,Assam,108.53
Potato,Alluvial soil,57.17,6.83,21.5,205.08,77.69,0.728,Maharashtra,0
Potato,Alluvial soil,55.15,6.32,21.66,55.38,73.84,0.525,Bihar,109.03
Cauliflower,Black soil,81.51,6.33,24.38,227.59,85.68,0.934,Punjab,0
Tomato,Forest and Mountain soil,56.44,6.87,26.29,242.67,83.72,0.82,Madhya Pradesh,0
Rice,Alluvial soil,84.55,6.62,20.74,200.67,86.77,0.827,Punjab,0
Soybean,Black soil,53.38,6.82,23.78,90.93,65.4,0.699,Bihar,0
Mustard,Red and Yellow soil,22.78,6.81,18.56,51.13,44.47,0.533,Haryana,76
Sugarcane,Alluvial soil,81.27,7.09,30.84,184.58,83.63,0.753,Maharashtra,201.52
Cabbage,Alluvial soil,94.29,6.15,26.61,254.57,81.02,0.734,Uttar Pradesh,0
Cabbage,Alluvial soil,60.25,6.79,20.45,46.27,75.12,0.697,Tamil Nadu,134.96
Soybean,Red and Yellow soil,43.69,6.45,22.92,56.87,71.62,0.712,Gujarat,122.64
Chickpea,Red and Yellow soil,38.57,6.57,22.56,86.6,64.11,0.556,Rajasthan,77.16
Garlic,Alluvial soil,70.58,6.81,28.52,266.55,85.2,0.807,West Bengal,0
Groundnut,Forest and Mountain soil,51.04,7.61,27.76,99.75,58.4,0.772,Tamil Nadu,0
Sugarcane,Black soil,61.48,7.34,32.39,288.17,72.14,0.717,Punjab,178.27
Pumpkin,Alluvial soil,59.81,6.85,18.11,226.71,80.6,0.668,Tamil Nadu,0
Pumpkin,Black soil,58.44,6.27,23.88,216.19,79.42,0.712,Karnataka,0
Chilli,Red and Yellow soil,56.06,6.19,26.58,134.14,60.87,0.664,Tamil Nadu,102.62
Lentil,Red and Yellow soil,31.31,6.54,22.15,83.66,45.19,0.467,Punjab,72.36
Cauliflower,Forest and Mountain soil,55.62,6.58,25.64,52.55,62.18,0.631,West Bengal,136.55
Chickpea,Black soil,43.21,7.42,19.8,111.57,42.72,0.444,Telangana,54.03
Lentil,Forest and Mountain soil,72.21,7.06,26.78,241.91,90.97,0.721,West Bengal,0
Chickpea,Alluvial soil,42.41,7.06,25.05,99.85,58.34,0.551,Madhya Pradesh,63.34
Maize,Alluvial soil,79.41,6.2,24.28,270.62,84.63,0.93,Madhya Pradesh,0
Cauliflower,Alluvial soil,59.94,6.18,22.37,123.69,71.55,0.55,Uttar Pradesh,119.86
Wheat,Red and Yellow soil,47.89,6.08,27.66,161.1,65.06,0.651,Haryana,0
Onion,Alluvial soil,59.62,6.3,22.82,36.07,63.8,0.717,Gujarat,98.24
Maize,Red and Yellow soil,58.55,6.05,25.77,142.83,57.61,0.713,Bihar,111.19
Cucumber,Alluvial soil,54.24,6.2,30.03,95.14,78.5,0.698,Uttar Pradesh,115.18
Soybean,Black soil,52.08,6.82,27.59,109.27,47.52,0.729,Chhattisgarh,81.37
Maize,Red and Yellow soil,81.74,6.82,20.55,294.52,85.71,0.774,Punjab,0
Cabbage,Forest and Mountain soil,88.71,7.46,23.48,344.43,90.31,0.833,Punjab,0
Tomato,Alluvial soil,93.36,6.35,28.36,265.39,78.56,0.891,Karnataka,0
Soybean,Forest and Mountain soil,48.07,6.21,23.42,141.64,59.6,0.755,Punjab,0
Cabbage,Black soil,64.59,6.97,19.23,94.25,70.92,0.643,Bihar,109.87
Tomato,Red and Yellow soil,48,6.29,26.21,94.36,55.7,0.66,West Bengal,112.71
Brinjal,Red and Yellow soil,81.83,6.62,21.41,250.72,75.75,0.885,Gujarat,0
Maize,Alluvial soil,55.17,7.78,25.61,136.79,69.35,0.845,Tamil Nadu,0
Cabbage,Black soil,68.09,6.91,16.96,47.87,76.36,0.707,Bihar,118.47
Maize,Forest and Mountain soil,55.94,6.67,20.64,156.85,58.13,0.8,Punjab,91.94
Rice,Red and Yellow soil,61.98,6.31,24.98,217.19,68.18,0.605,Bihar,181.81
Mustard,Black soil,29.28,6.82,19.27,36.48,58.31,0.491,West Bengal,61.62
Rice,Alluvial soil,65.78,6.7,29.47,225.01,60,0.756,Rajasthan,139.89
Tomato,Forest and Mountain soil,68.27,7.22,28.16,163.38,83.5,0.777,Bihar,0
Cauliflower,Red and Yellow soil,50.44,6.35,30.75,128.9,63.69,0.695,Punjab,0
Cabbage,Alluvial soil,68.6,6.03,19.38,54.76,73.59,0.643,Karnataka,127.4
Potato,Red and Yellow soil,91.78,7.59,25.14,277.89,80.58,0.77,Bihar,0
Chilli,Alluvial soil,41.14,6.98,28.93,97.17,65.51,0.5,Uttar Pradesh,111.98
Potato,Black soil,57.33,7.07,20.96,137.45,84.55,0.765,Bihar,0
Brinjal,Black soil,60.94,6.43,29.16,237.96,83.67,0.788,Tamil Nadu,0
Rice,Peaty and Marshy soil,87.25,6.04,33.82,169.77,82.83,0.528,Uttar Pradesh,111.27
Sugarcane,Alluvial soil,94.71,7.31,23.23,395.82,91.25,0.735,Tamil Nadu,0
Chickpea,Red and Yellow soil,73.77,7.26,26.69,359.28,85.21,0.76,Maharashtra,0
Rice,Alluvial soil,62.4,6.68,30.47,247.47,85.29,0.685,West Bengal,137.23
Chickpea,Black soil,46.45,7.32,21.06,93.79,57.33,0.7,Rajasthan,56.33
Garlic,Red and Yellow soil,62.09,7.24,22.97,233.79,77.49,0.88,Bihar,0
Garlic,Forest and Mountain soil,88.06,6.85,29.35,325.84,80.58,0.881,Maharashtra,0
Soybean,Red and Yellow soil,87.09,6.85,19.5,336.9,85.54,0.799,Maharashtra,0
Groundnut,Red and Yellow soil,40.91,6,28.91,83.57,58.48,0.704,Tamil Nadu,106.22
Chilli,Forest and Mountain soil,72.73,6.27,19.57,212.94,87.42,0.871,Gujarat,0
Cabbage,Alluvial soil,92.15,7.38,29.73,218.25,89.51,0.767,Tamil Nadu,0
Garlic,Black soil,52.73,7.31,23.85,132.64,55.47,0.702,Punjab,0
Onion,Forest and Mountain soil,55.88,6.26,25.77,180.88,66.19,0.759,Haryana,0
Cucumber,Black soil,66.58,7.47,33.23,66.49,62.93,0.71,Telangana,111.54
Wheat,Red and Yellow soil,48.33,7.15,23.57,135.78,73.27,0.778,Madhya Pradesh,0
Cabbage,Black soil,69.01,6.47,26.16,218.85,88.86,0.739,Bihar,0
Cabbage,Alluvial soil,88.69,6.22,20.34,286.65,89.06,0.766,Karnataka,0
Sugarcane,Red and Yellow soil,74.95,6.68,21.36,300.61,85.02,0.722,Karnataka,0
Chickpea,Black soil,38.67,7.58,21.67,94.44,43.17,0.608,Madhya Pradesh,60.28
Garlic,Forest and Mountain soil,69.92,6.92,21.29,136.27,79.65,0.869,Haryana,0
Lentil,Alluvial soil,87.62,7.3,24.95,383.46,85.15,0.939,Gujarat,0
Potato,Red and Yellow soil,50.23,5.92,18.33,104.15,59.86,0.634,Assam,108.46
Potato,Forest and Mountain soil,61.16,7.01,27.18,233.75,72.12,0.865,Punjab,0
Cauliflower,Black soil,75.71,7.17,28.06,340.05,80.85,0.696,Bihar,0
Chickpea,Black soil,35.08,7.62,15.09,81.31,35,0.53,Haryana,62.72
Sugarcane,Forest and Mountain soil,75.99,7.01,24.67,366.06,80.4,0.892,Bihar,0
Cabbage,Black soil,85.45,7.15,23.54,275.63,91.61,0.861,West Bengal,0
Cabbage,Alluvial soil,92.27,6.89,29.1,380.63,86.63,0.896,Punjab,0
Chilli,Forest and Mountain soil,92.96,6.21,29.77,305.17,93.37,0.925,Uttar Pradesh,0
Onion,Alluvial soil,57.21,6.9,25.24,223.3,83.88,0.858,Karnataka,0
Mustard,Red and Yellow soil,34.4,6.67,13.17,100,56.86,0.509,Bihar,56.35
Cabbage,Red and Yellow soil,71.3,7.5,25.45,214.46,84.85,0.752,West Bengal,0
Chickpea,Alluvial soil,37.31,7.02,19.2,45.51,48.56,0.459,Karnataka,75
Onion,Red and Yellow soil,42.42,5.97,26.66,57.36,56.75,0.655,Gujarat,114.77
Cabbage,Black soil,73.41,7.27,25.91,102.04,55,0.623,Tamil Nadu,105.31
Wheat,Forest and Mountain soil,46.97,6.26,13.04,86.04,70.34,0.589,Punjab,105.59
Chickpea,Alluvial soil,81.23,6.75,25.66,328.04,75.32,0.834,Maharashtra,0
Cauliflower,Alluvial soil,70.36,6.39,17.43,97.68,72.09,0.593,West Bengal,118.14
Garlic,Red and Yellow soil,77.2,6.72,27.11,398.02,83.04,0.917,Karnataka,0
Tomato,Alluvial soil,58.26,6.46,21.84,70.39,57.18,0.719,Telangana,100.37
Garlic,Red and Yellow soil,44.3,6.1,27.17,43.09,57.21,0.573,Maharashtra,115.72
Cauliflower,Alluvial soil,71.73,6.64,19.57,88.7,67.45,0.587,Karnataka,120.41
Rice,Peaty and Marshy soil,88.47,5.55,21.78,116.47,72.06,0.742,Madhya Pradesh,116.52
Potato,Alluvial soil,62.29,6.95,19.04,146.22,54.17,0.62,Jharkhand,80.99
Mustard,Black soil,51.1,6.05,25.24,80.84,61.75,0.804,Bihar,0
Chickpea,Red and Yellow soil,43.23,6.95,20.55,46.74,57.31,0.43,Rajasthan,82.2
Cotton,Red and Yellow soil,51.43,6.18,24.1,144.74,61.03,0.736,Haryana,0
Maize,Black soil,56.74,7.1,24.15,126.81,68.27,0.729,West Bengal,0
Cabbage,Red and Yellow soil,66.7,6.54,20.26,109.28,63.09,0.728,Tamil Nadu,125.26
Wheat,Alluvial soil,50.71,7.1,20.48,96.13,58.81,0.44,Rajasthan,90.85
Onion,Black soil,39.99,7.15,25.99,55.59,53.64,0.667,Tamil Nadu,101.41
Chilli,Black soil,57.1,7.51,30.21,131.67,77.3,0.609,Odisha,89.43
Wheat,Alluvial soil,55.46,7.78,26.52,148.39,64.4,0.717,Madhya Pradesh,0
Cotton,Black soil,62.04,7.83,30.75,130.45,64.02,0.746,Maharashtra,67.26
Cauliflower,Forest and Mountain soil,84.4,7.37,27.26,372.95,89.96,0.837,Tamil Nadu,0
Rice,Forest and Mountain soil,71.71,6.35,29.92,208.46,86.45,0.761,Uttar Pradesh,0
Sugarcane,Alluvial soil,73.29,7.18,27.53,197.7,74.75,0.608,Bihar,201.36
Cauliflower,Red and Yellow soil,85.39,6.95,18.93,260.68,76.63,0.712,Madhya Pradesh,0
Rice,Red and Yellow soil,60.14,5.57,25.53,265.14,71.56,0.709,Punjab,171.44
Cauliflower,Red and Yellow soil,51.51,6.23,26.31,97.1,59.38,0.656,Karnataka,0
Maize,Forest and Mountain soil,63.24,6.1,29.15,142.97,72.23,0.767,Bihar,0
Onion,Black soil,45.48,6.76,23.82,61.02,63.63,0.633,Tamil Nadu,95.89
Cabbage,Black soil,55.94,7.35,21.33,32.35,64.12,0.723,West Bengal,131.38
Potato,Red and Yellow soil,64.58,6.34,24.11,174.95,83.87,0.82,Punjab,0
Chickpea,Black soil,51.84,7.79,22.66,144.23,56.96,0.82,West Bengal,0
Potato,Black soil,91.43,7.71,27.46,221.81,81.55,0.862,Uttar Pradesh,0
Chilli,Black soil,83.77,7.51,19.82,279.87,89.21,0.917,Karnataka,0
Wheat,Alluvial soil,50.06,6.72,14.51,62.03,54.24,0.51,Haryana,104.59
Maize,Forest and Mountain soil,78.79,6.35,29.35,355.27,89.98,0.761,Maharashtra,0
Cabbage,Black soil,92.96,6.84,22.25,241,84.5,0.738,West Bengal,0
Rice,Black soil,88.07,7.71,22.45,278.39,80.54,0.889,Uttar Pradesh,0
Cotton,Forest and Mountain soil,59.01,7.27,24.06,134.73,74.38,0.765,Bihar,0
Cabbage,Alluvial soil,63.7,6.06,25.47,100.65,68.93,0.696,West Bengal,121.3
Pumpkin,Forest and Mountain soil,87.29,6.51,21.12,303.22,90.31,0.844,Madhya Pradesh,0
Soybean,Black soil,49.8,7.58,28.35,125.27,59.71,0.522,Madhya Pradesh,79.04
Soybean,Forest and Mountain soil,70.51,6.28,29.48,318.42,85.52,0.885,Maharashtra,0
Rice,Peaty and Marshy soil,91.87,6.13,22.72,200.11,78.48,0.8,Rajasthan,93.79
Chickpea,Forest and Mountain soil,90.7,6.46,25.86,317.78,88.31,0.784,Gujarat,0
Cotton,Red and Yellow soil,94.07,7.08,19.37,374.24,91.49,0.755,Gujarat,0
Potato,Red and Yellow soil,62.52,6.84,23.14,171.13,79.39,0.893,Karnataka,0
Cucumber,Black soil,66.46,7.19,21.04,227.21,76.3,0.7,Tamil Nadu,0
Tomato,Alluvial soil,56.78,7.68,31.94,128.91,60.49,0.737,Tamil Nadu,0
Rice,Black soil,61.63,6.99,29.8,311.34,86.44,0.743,Uttar Pradesh,141.41
Garlic,Red and Yellow soil,62.59,7.07,27.82,82.69,66.59,0.769,Uttar Pradesh,0
Rice,Forest and Mountain soil,77.86,6.68,25.35,228.96,78.25,0.866,Karnataka,0
Sugarcane,Red and Yellow soil,80.32,6.38,28.36,209.9,82.65,0.697,Uttar Pradesh,0
Mustard,Alluvial soil,31.37,7.33,19.38,71.5,60.15,0.44,Jharkhand,56.85
Soybean,Black soil,56.08,6.74,26.08,146.12,65.54,0.748,Uttar Pradesh,0
Wheat,Black soil,45.46,7.16,23.83,68.07,64.5,0.489,Rajasthan,111.8
Cabbage,Black soil,87.46,6.37,29.8,226,83.17,0.763,Bihar,0
Garlic,Alluvial soil,55.96,6.08,18.47,181.8,71.09,0.788,Madhya Pradesh,0
Potato,Black soil,61.37,6.66,21.08,205,66.17,0.77,Bihar,0
Cotton,Black soil,51.87,7.5,31.13,30,54.82,0.782,Maharashtra,98.63
Pumpkin,Alluvial soil,64.24,6.84,25.48,112.43,61.63,0.692,West Bengal,100.59
Cucumber,Alluvial soil,56.52,7.2,18.29,177.76,75.4,0.779,Madhya Pradesh,0
Cauliflower,Forest and Mountain soil,82.17,7.58,22.53,322.34,88.37,0.733,Haryana,0
Tomato,Alluvial soil,57.29,6.47,28.97,225.55,76.69,0.863,Maharashtra,0
Lentil,Alluvial soil,48.54,6.39,25.73,138.15,57.3,0.674,Tamil Nadu,0
Groundnut,Black soil,46.8,6.71,21.11,113.16,74.11,0.759,Karnataka,0
Cucumber,Forest and Mountain soil,69.44,6.57,23.31,223.13,81.36,0.891,West Bengal,0
Tomato,Forest and Mountain soil,67.01,6.65,27.98,211.11,83.53,0.782,Tamil Nadu,0
Brinjal,Black soil,69.2,7.26,28.55,163.93,71.98,0.74,Maharashtra,0
Rice,Black soil,63.94,7.12,27.74,202.95,70.25,0.735,Tamil Nadu,165.65
Sugarcane,Forest and Mountain soil,79.2,6.71,18.24,326.47,87.8,0.659,Uttar Pradesh,0
Sugarcane,Alluvial soil,74.39,6.9,32.28,234.6,95,0.775,Maharashtra,193.85
Lentil,Black soil,34.77,7.54,22.44,66.3,54.12,0.4,Jharkhand,59.19
Chickpea,Black soil,43.01,7.17,15.43,109.94,57.95,0.623,Punjab,53.14
Onion,Red and Yellow soil,41.65,6.54,21.01,24.42,69.34,0.713,West Bengal,121.21
Rice,Alluvial soil,77.63,6.48,28.21,160.35,80.94,0.693,West Bengal,146.99
Cotton,Black soil,44.24,7.18,32.89,109.11,53.5,0.554,Haryana,84.14
Mustard,Forest and Mountain soil,80.52,6.83,21.32,256.04,91.28,0.81,Bihar,0
Garlic,Red and Yellow soil,61.25,6.54,28.45,156.2,75.74,0.658,West Bengal,0
Wheat,Alluvial soil,61.1,7.63,18.81,141.08,74.62,0.758,Tamil Nadu,0
Cabbage,Alluvial soil,89.95,7.8,18.75,372.5,87.07,0.872,Uttar Pradesh,0
Lentil,Alluvial soil,43.98,6.96,20.07,75.69,39.22,0.634,Uttar Pradesh,56.99
Cauliflower,Forest and Mountain soil,57.68,7.29,29.34,87.04,66.19,0.634,Maharashtra,20.36
Tomato,Red and Yellow soil,65.89,6.45,29.71,215.92,76.34,0.65,Gujarat,0
